Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
4466.0,SUZUKI,ALTO,2016.0,650.0,Manual,Petrol,99000.0,Gampaha,2024-12-08,No Leasing,USED,Available,Available,Not_Available,Available,32.5
4467.0,SUZUKI,ALTO,2012.0,800.0,Manual,Petrol,143000.0,Matara,2024-12-08,No Leasing,USED,Available,Available,Not_Available,Not_Available,25.593749375
4468.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Polonnaruwa,2024-12-07,No Leasing,USED,Available,Available,Not_Available,Not_Available,33.02984496124031
4469.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Galle,2024-12-07,No Leasing,USED,Available,Not_Available,Not_Available,Available,33.9
4470.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Polonnaruwa,2024-12-07,No Leasing,USED,Available,Available,Not_Available,Not_Available,24.0195
4471.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Colombo,2024-12-07,No Leasing,USED,Available,Available,Not_Available,Available,33.02984496124031
4472.0,SUZUKI,ALTO,2010.0,800.0,Manual,Petrol,165000.0,Kegalle,2024-12-07,No Leasing,USED,Available,Not_Available,Available,Not_Available,25.9
4473.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kurunegala,2024-12-06,No Leasing,USED,Available,Available,Not_Available,Available,34.0
4474.0,SUZUKI,ALTO,2007.0,860.0,Manual,Petrol,198000.0,Anuradapura,2024-12-06,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,22.795
4475.0,SUZUKI,ALTO,2010.0,800.0,Manual,Petrol,165000.0,Kandy,2024-12-06,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.75
4476.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Gampaha,2024-12-06,No Leasing,USED,Available,Available,Available,Available,33.8
4477.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Gampaha,2024-12-06,No Leasing,USED,Available,Available,Available,Available,33.8
4478.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kadawatha,2024-12-06,No Leasing,USED,Available,Available,Available,Available,31.5
4479.0,SUZUKI,ALTO,2010.0,800.0,Manual,Petrol,165000.0,Ratnapura,2024-12-05,Ongoing Lease,USED,Available,Not_Available,Not_Available,Not_Available,25.35
4480.0,SUZUKI,ALTO,2014.0,800.0,Manual,Petrol,121000.0,Kandy,2024-12-05,No Leasing,USED,Available,Not_Available,Not_Available,Available,32.0
4481.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Galle,2024-12-05,No Leasing,USED,Available,Available,Available,Available,33.5
4482.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Colombo,2024-12-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,33.02984496124031
4483.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Galle,2024-12-05,No Leasing,USED,Available,Available,Not_Available,Available,33.02984496124031
4484.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Kiribathgoda,2024-12-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.25
4485.0,SUZUKI,ALTO,2014.0,800.0,Manual,Petrol,121000.0,Matara,2024-12-04,No Leasing,USED,Available,Available,Not_Available,Available,33.5
4486.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kegalle,2024-12-04,No Leasing,USED,Available,Available,Available,Available,32.75
4487.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Gampaha,2024-12-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.65
4488.0,SUZUKI,ALTO,2017.0,800.0,Manual,Petrol,88000.0,Kelaniya,2024-12-04,No Leasing,USED,Available,Available,Available,Not_Available,35.95
4489.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kurunegala,2024-12-04,No Leasing,USED,Available,Available,Available,Available,32.95
4490.0,SUZUKI,ALTO,2009.0,800.0,Manual,Petrol,176000.0,,2024-12-04,Ongoing Lease,USED,Available,Available,Not_Available,,25.15
4491.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Anuradapura,2024-12-04,No Leasing,USED,Available,Available,Available,Available,32.6
4492.0,SUZUKI,ALTO 800,2015.0,800.0,Manual,Petrol,110000.0,Peliyagoda,2025-02-05,No Leasing,USED,Available,Available,Available,Available,32.5
,,ALTO 800,2015.0,800.0,Manual,Petrol,110000.0,,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,31.5
4494.0,SUZUKI,ALTO 800,2016.0,800.0,Manual,Petrol,99000.0,Jaffna,2025-02-04,No Leasing,USED,Available,Available,Available,Available,34.81
4495.0,SUZUKI,ALTO 800,2014.0,800.0,Manual,Petrol,121000.0,Kottawa,2025-02-04,No Leasing,USED,Available,Available,Available,Available,32.9
4496.0,SUZUKI,,2016.0,800.0,Manual,,99000.0,,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,34.85
4497.0,SUZUKI,ALTO 800,2017.0,799.0,Manual,Petrol,88000.0,Kiribathgoda,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,37.05
4498.0,SUZUKI,ALTO 800,2012.0,800.0,Manual,Petrol,143000.0,Gampaha,2025-02-03,No Leasing,USED,Available,Available,Not_Available,Not_Available,28.65000000000001
4499.0,SUZUKI,ALTO 800,2015.0,800.0,Manual,Petrol,110000.0,Jaffna,2025-02-02,No Leasing,USED,Available,Available,Not_Available,Available,34.5
4500.0,SUZUKI,ALTO 800,2011.0,800.0,Manual,Petrol,154000.0,Kottawa,2025-02-02,No Leasing,USED,Available,Available,Not_Available,Not_Available,28.65000000000001
4501.0,SUZUKI,ALTO 800,2015.0,800.0,Manual,Petrol,110000.0,Gampaha,2025-01-18,No Leasing,,Available,Available,Not_Available,Available,32.95
4502.0,SUZUKI,ALTO 800,2015.0,800.0,Manual,Petrol,110000.0,Maharagama,2025-01-18,No Leasing,USED,Available,Available,Not_Available,Available,33.5
4503.0,SUZUKI,ALTO 800,2016.0,799.0,Manual,Petrol,99000.0,Galle,2025-01-18,No Leasing,USED,Available,Not_Available,Not_Available,Available,34.81
